AAPL,MSFT,JPM
243.8500061,418.5799866,240
243.3600006,423.3500061,243.2799988
245,427.8500061,240.8500061
242.2100067,422.3699951,243.1699982
242.6999969,424.5599976,243.1300049
236.8500061,418.9500122,239.8699951
234.3999939,417.1900024,244.2100067
233.2799988,415.6700134,247.4700012
237.8699951,426.3099976,252.3500061
228.2599945,424.5799866,254.2700043
229.9799957,429.0299988,259.1600037
222.6399994,428.5,263.0299988
223.8300018,446.2000122,262.8399963
223.6600037,446.7099915,265.9500122
222.7799988,444.0599976,264.8399963
229.8600006,434.5599976,265.8500061
238.2599945,447.2000122,267.1400146
239.3600006,442.3299866,266.5799866
237.5899963,414.9899902,268.230011
236,415.0599976,267.2999878
228.0099945,410.9200134,266.8099976
232.8000031,412.3699951,267.9400024
232.4700012,413.2900085,270.4299927
233.2200012,415.8200073,276.8999939
227.6300049,409.75,275.7999878
227.6499939,412.2200012,271.0400085
232.6199951,411.4400024,274.9899902
236.8699951,409.0400085,275.4500122
241.5299988,410.5400085,276.3200073
244.6000061,408.4299927,276.5899963
244.4700012,409.6400146,279.9500122
244.8699951,414.769989,279.25
245.8300018,416.1300049,266.7999878
245.5500031,408.2099915,264.2399902
247.1000061,404,261.3399963
247.0399933,397.8999939,257.3999939
240.3600006,399.730011,258.7900085
237.3000031,392.5299988,259.0499878
241.8399963,396.9899902,264.6499939
238.0299988,388.4899902,260.6199951
235.9299927,388.6099854,250.25
235.7400055,401.019989,251.5299988
235.3300018,396.8900146,246.5399933
239.0700073,393.3099976,242.2799988
227.4799957,380.1600037,232.2200012
220.8399963,380.4500122,229.1399994
216.9799957,383.269989,227.8999939
209.6799927,378.769989,225.1900024
213.4900055,388.5599976,232.4400024
214,388.7000122,233.9299927
212.6900024,383.519989,234.9700012
215.2400055,387.8200073,239.1100006
214.1000061,386.8399963,239.0099945
218.2700043,391.2600098,241.6300049
220.7299957,393.0799866,248.0599976
223.75,395.1600037,251.1300049
221.5299988,389.9700012,251.0299988
223.8500061,390.5799866,248.1199951
217.8999939,378.7999878,242.8500061
222.1300049,375.3900146,245.3000031
223.1900024,382.1900024,243.6600037
223.8899994,382.1400146,245.8200073
203.1900024,373.1099854,228.6900024
188.3800049,359.8399963,210.2799988
181.4600067,357.8599854,214.4400024
172.4199982,354.5599976,216.8699951
198.8500061,390.4899902,234.3399963
190.4199982,381.3500061,227.1100006
198.1499939,388.4500122,236.1999969
202.5200043,387.8099976,234.7200012
202.1399994,385.730011,233.1300049
194.2700043,371.6099854,229.6100006
196.9799957,367.7799988,231.9600067
193.1600037,359.1199951,228.9900055
199.7400055,366.8200073,235.5899963
204.6000061,374.3900146,240.8800049
208.3699951,387.2999878,244.6399994
209.2799988,391.8500061,243.5500031
210.1399994,391.1600037,243.2200012
211.2100067,394.0400085,244.6199951
212.5,395.2600098,244.6199951
213.3200073,425.3999939,246.8899994
205.3500061,435.2799988,252.5099945
198.8899994,436.1700134,252.5599976
198.5099945,433.3099976,249.25
196.25,433.3500061,249.3899994
